TAREAS,FECHA INICIO,FECHA DE FINAL,PRIORIDAD,ESTADO
61230 - Neumáticos Pirelli - Hi ROAD,17/02/2025,22/08/2025,BAJA,PROCESO
CR 61585 - Señal de neutro caja allison,20/02/2025,02/05/2025,BAJA,PROCESO
CR 61263 - Codesign tanques de aire,26/02/2025,26/04/2025,BAJA,PROCESO
CR 61465 - Phase out medidores tanques Urea,01/02/2025,28/11/2025,BAJA,PROCESO
CR 57951,01/09/2024,01/03/2025,BAJA,PROCESO
CR 61436,01/01/2025,28/02/2025,BAJA,PROCESO
CR 61494,01/01/2025,01/05/2025,BAJA,PROCESO
CR 61648 - Phase out JC connector,28/02/2025,06/06/2025,BAJA,PROCESO
CR 61323 SWAY GNC ARG,01/04/2025,01/03/2026,BAJA,PROCESO
NEW PLM,01/04/2025,31/12/2025,BAJA,PROCESO
CR 61836 - Cambio de bomba rebatimiento cabina,28/03/2025,27/06/2025,BAJA,PROCESO
CR 61266 - PHASE-OUT HI LAND TIRES,03/03/2025,29/08/2025,BAJA,PROCESO
CR 61955 - Eliminar etiqueta producto ARG,15/04/2025,30/05/2025,BAJA,PROCESO
CR 61467 - Tanque serv. aux. TECTOR GNC,21/04/2025,30/05/2025,BAJA,PROCESO
CR 61796 - Regularización Abrazadera Medianos,01/04/2025,28/04/2026,BAJA,PROCESO
CR 61794 - Reducción de costo admisión snorkel 15-17Ton,15/04/2025,15/04/2026,BAJA,PROCESO
CR 61314 - Industrialización NEF60 GNC,01/04/2025,01/04/2026,BAJA,PROCESO
CR 61844 - Unificación teleras Medianos,01/04/2025,01/04/2026,BAJA,PROCESO
CR 59762 -Lonas BUS GNC,30/04/2025,24/05/2025,BAJA,PROCESO
CLIMATIZADOR MODELADO,20/05/2025,27/05/2025,BAJA,PROCESO
CR 62094,01/05/2025,31/07/2025,BAJA,PROCESO
INDUSTRIALIZACION S-WAY,03/03/2025,26/12/2025,BAJA,PROCESO
CR 61974 - Reemplazo sensor de temperatura muffler GNC,24/06/2025,05/09/2025,BAJA,PROCESO
CR 62108 - Unifivcar uso de PNS panel paragolpes RSU,10/06/2025,14/07/2025,BAJA,PROCESO
CR 58314 - Espejos 6x4 RSU,18/06/2025,21/07/2025,BAJA,PROCESO
CR 59971 - Tector Premium Entry Level,30/06/2024,30/06/2025,BAJA,PROCESO
CR 62285 - Phase-out PN 41002934-5 - Rear headlight bracket,02/06/2025,02/01/2026,BAJA,PROCESO
CR 62154 - Localizacion tanque urea Heavy,01/07/2025,02/01/2026,BAJA,PROCESO
CR 62287,01/08/2025,28/02/2026,BAJA,PROCESO
CR 62288 DRAG FOILER SWAY,01/08/2025,28/02/2026,BAJA,PROCESO
CR 62033 - Eliminación pintura Falso FUP,01/07/2025,31/12/2025,BAJA,PROCESO
CR 62341 - Actualización MUM BUS GNC,01/07/2025,01/07/2026,BAJA,PROCESO
CR 62343 - Unificación paragolpes fijo EVI-EV,01/07/2025,31/12/2025,BAJA,PROCESO
CR 62323 - Interference in shock absorber mounting,01/07/2025,26/12/2025,BAJA,PROCESO
CR 62325 - Quantity error on fuel tank brackets,01/07/2025,26/12/2025,BAJA,PROCESO
E-TLH7300_RE_23_Y5000001 RETRABAJO CHASIS HEAVY,01/08/2025,01/12/2025,BAJA,PROCESO
E-TLM6000_RE_23_Y5000001 RETRABAJO CHASIS MEDIUM,01/08/2025,01/12/2025,BAJA,PROCESO
CR 62483 - Cambio de soporte Trakker,01/08/2025,31/10/2025,BAJA,PROCESO
PROYECTO TECTOR GNC BRASIL,01/08/2025,31/10/2025,BAJA,PROCESO
CR 57960 - Oxidacion En Cubo De Ruedas,02/01/2023,01/10/2025,BAJA,PROCESO
CR 62551 - 6x4 stabilizer bar flange mounting,01/09/2025,31/03/2026,BAJA,PROCESO
CR 62630 Unificacion soporte triler,01/10/2025,31/12/2025,BAJA,PENDIENTE
CR 60553 - Alternativa cilindro Europa GNC,04/01/2024,30/12/2025,BAJA,PENDIENTE
CR 61485 - Nuevos guardabarros metalicos,01/07/2025,31/05/2026,BAJA,PENDIENTE
CR 62773 Refuerzo scocca - Medium,01/11/2025,01/12/2025,BAJA,PENDIENTE
CR 62637 - Hi-Land intake pipe fixing clamp,05/11/2025,05/05/2026,BAJA,PENDIENTE
CR 62667 - Regularization of the steering column assembly,01/10/2025,31/03/2026,BAJA,PENDIENTE
CR 62665 Unificaciones neumaticas,26/12/2025,01/06/2026,BAJA,PENDIENTE
CR 62627 - Cambio respiro caja Eaton GNC,01/11/2025,31/03/2026,BAJA,PENDIENTE
CR 62796 - Mejora shifting BUS GNC Manual,02/01/2026,23/01/2026,BAJA,PENDIENTE
